date,NVDA,AVGO,MSFT,META,JPM,XLF,XOM,SPY
2025-10-15,179.400177,349.3720398,509.2401428,715.6885986,301.4100037,52.59899521,108.4663544,659.7044678
2025-10-16,181.3754425,352.1763306,507.434967,710.2228394,294.3600769,51.1368103,107.523674,655.2116699
2025-10-17,182.7820892,347.3832092,509.3888855,715.0602417,293.3938293,51.55175781,109.0786133,658.9308472
2025-10-20,182.2034607,347.2937317,512.5727539,730.2706909,298.1265869,52.15441132,109.52565,665.7840576
2025-10-21,180.7270203,340.7503967,513.4356079,731.3678589,292.9303589,52.09513474,109.5353699,665.7740479
2025-10-22,179.8491211,338.4035339,516.2921143,731.5074463,289.9921265,51.79874802,111.4790421,662.3128052
2025-10-23,181.7246399,342.3713074,516.3118896,732.0959473,290.4161072,51.90742111,112.7132721,666.2402954
2025-10-24,185.8148041,352.1564636,519.3370972,736.4445801,296.23349,52.47055817,112.1398849,671.6851807
2025-10-27,191.0323334,360.0322876,527.1824951,748.8723145,299.8915405,52.68791199,112.674408,679.6094971
2025-10-28,200.5495148,370.8914795,537.6463623,749.4907227,301.0845947,52.352005,111.7900162,681.4145508
2025-10-29,206.5451508,383.8289795,537.1306152,749.7200928,301.2325134,51.46284103,113.1700363,681.7418213
2025-10-30,202.4050598,374.3719788,521.4694824,664.7410889,305.1075134,51.60115433,111.4596024,674.2439575
2025-10-31,202.0060425,367.5700989,513.5844116,646.6680908,306.7639771,51.73946381,111.1389008,676.4556274
2025-11-03,206.3855438,360.5295105,512.810791,636.0557251,305.0187683,51.52211761,110.5557938,677.7251587
2025-11-04,198.2151184,349.9786682,510.132782,625.692688,304.920166,51.78886414,110.925087,669.6917114
2025-11-05,194.7434387,356.9794312,503.0213013,634.300293,307.3161011,51.96669769,110.4780502,672.0124512
2025-11-06,187.6304779,353.6083374,493.043396,617.3344116,309.0317993,51.77898788,111.2749557,664.8021851
2025-11-07,187.7003021,347.482666,492.765686,620.097229,309.8106689,52.14453125,113.918335,665.4567261
2025-11-10,198.5742493,356.3927307,501.8707886,630.1212158,312.4532166,52.33224487,114.8901749,675.8407593
2025-11-11,192.698349,349.9985657,504.5289001,625.4533081,311.2009583,52.5693512,116.4062424,677.3878784
2025-11-12,193.3368225,353.240387,506.9688416,607.4301758,315.9239197,53.02381134,114.7929916,677.7647705
2025-11-13,186.4133911,338.0853271,499.1828918,608.3079224,305.1469421,52.34212112,115.4441223,666.5179443
2025-11-14,189.7154694,340.5514832,506.0166321,607.8790283,299.3591003,51.81850433,116.9440308,666.4089355
2025-11-17,186.154007,340.7404175,503.3486328,600.4483643,296.1644592,50.83054352,115.3656845,660.2003174
2025-11-18,180.9265442,338.602417,489.7604065,596.1395874,295.2178955,50.75150681,116.6891403,654.656311
2025-11-19,186.0742035,352.4448547,483.1448364,588.7886353,299.0238647,50.93922043,115.0421829,657.1853638
2025-11-20,180.208252,344.887207,475.4138794,587.6217041,294.2023315,50.49464035,114.7186661,647.168335
2025-11-21,178.4524841,338.3041382,469.1436462,592.7084961,293.8473511,51.04789352,114.7774963,653.6149292
2025-11-24,182.1137085,375.8536377,471.0118103,611.4596558,293.8276672,51.26524734,113.6893234,663.2351074
2025-11-25,177.394989,382.8842468,473.9829712,634.5695801,298.7576294,51.90742111,112.2580338,669.4734497
2025-11-26,179.8291779,395.3543701,482.4393311,631.9663696,303.3327026,52.31248474,112.5129166,674.0952148
2025-11-28,176.5769501,400.714325,488.9082947,646.269165,308.6965332,52.68791199,113.6402969,677.7747192
2025-12-01,179.489975,383.9284058,483.6714783,639.2075195,304.5947876,52.25320816,114.3363419,674.6803589
2025-12-02,181.0263062,379.443573,486.9109497,645.4213867,303.5693359,52.20380783,113.1109238,675.9300537
2025-12-03,179.1607666,378.4888916,474.7182922,637.9408569,307.7598267,52.90526199,115.4833374,678.2706299
2025-12-04,182.9519043,378.9065857,477.8087158,659.8139648,311.6742554,53.0139389,114.8363113,678.7664795
2025-12-05,181.9841614,388.0652161,480.1140747,671.6730957,310.6290894,53.03369522,114.2481155,680.0557861
2025-12-08,185.1168213,398.8647156,487.9244995,665.0702515,310.7966919,52.83610153,113.6991272,678.0127563
